Freq (GHz),Gamma real,Gamma imag,Gamma var11,Gamma var22,Gamma var12
81.0,-0.24478125323900574,-0.0003326928047706745,0.0016763496448342816,5.566954310987825e-08,5.696874081499784e-06
82.0,-0.24473442735642575,-0.0003294723979624005,0.0016762601031753029,5.4571388413687375e-08,5.543656003277976e-06
83.0,-0.24468734468999478,-0.0003320304537419207,0.0016761971920933455,5.3849061739807454e-08,5.440397457734553e-06
84.0,-0.24463998600260442,-0.00033577001734963664,0.0016761385455211348,5.323410074836471e-08,5.350649571143422e-06
85.0,-0.2445923496239141,-0.00033242646627565934,0.001676046869071608,5.225460374587863e-08,5.206141335990734e-06
86.0,-0.24454449402842157,-0.00032922447258597093,0.0016759558253251967,5.1326928819535615e-08,5.065469670446081e-06
87.0,-0.24449641944272815,-0.00032615903025863,0.0016758652385879258,5.044847234653881e-08,4.92858507451392e-06
88.0,-0.24444809549430602,-0.00032869805430921705,0.0016757983465098254,4.989853632113173e-08,4.8424300140745315e-06
89.0,-0.24439955074634506,-0.00033209077370831004,0.0016757342550738751,4.942379725171276e-08,4.767305631054546e-06
90.0,-0.24435072467740002,-0.0003261613597598552,0.0016756556736960526,4.8765293167643336e-08,4.674613320881478e-06
91.0,-0.24430171208687923,-0.0003263409778658232,0.0016756002918544852,4.843160013119093e-08,4.6365838578188505e-06
92.0,-0.24425246043597013,-0.00032927705647802435,0.001675525023780179,4.7978570738643856e-08,4.56266047687489e-06
93.0,-0.24420296971130234,-0.0003262883913898927,0.0016754238625889674,4.7255802090711054e-08,4.439014040722489e-06
94.0,-0.24415327474711065,-0.00032342974836550127,0.0016753227011389897,4.657200438518368e-08,4.318957760429162e-06
95.0,-0.24410337600883245,-0.00032069650011414306,0.0016752213937834151,4.592498550662021e-08,4.202418641800459e-06
96.0,-0.24405327408667046,-0.0003180841808183481,0.0016751198019068652,4.531265313487139e-08,4.0893227469955255e-06
97.0,-0.24400296967986262,-0.0003155884792771994,0.0016750177933423456,4.473301308083335e-08,3.979595423986014e-06
98.0,-0.2439524635992282,-0.0003132052356122088,0.0016749152421760855,4.4184166964310655e-08,3.873161506978469e-06
99.0,-0.24390175676478634,-0.0003109304342086381,0.001674812029116017,4.366430954023598e-08,3.7699455187024286e-06
100.0,-0.24385085019502228,-0.0003087602001137476,0.001674708040479414,4.317172625955918e-08,3.66987184491005e-06
101.0,-0.24379974500727125,-0.0003066907931884106,0.0016746031684688788,4.2704790608594764e-08,3.5728649057110945e-06
102.0,-0.24374844241427374,-0.0003047186038021928,0.0016744973111332054,4.226196065530159e-08,3.4788492991147965e-06
103.0,-0.24369694371438702,-0.00030284014845417286,0.0016743903714723555,4.184177682494474e-08,3.3877499414329156e-06
104.0,-0.24364525131497697,-0.0002994167700460318,0.0016742903539590924,4.149179358890899e-08,3.323287573222628e-06
105.0,-0.2435933788265256,-0.00029779452183496515,0.0016741801634918374,4.1108819525923623e-08,3.236874232680748e-06
106.0,-0.24354131793543338,-0.00029468755513901626,0.0016740762114000772,4.0789548972336395e-08,3.1763357831701662e-06
107.0,-0.24348907388521074,-0.000293298393247852,0.0016739625978214204,4.0439737426217346e-08,3.094401422065462e-06
108.0,-0.2434366388970327,-0.00029198034985761755,0.0016738475921226795,4.010693583765374e-08,3.015080368755482e-06
109.0,-0.2433840149136961,-0.0002907309325966139,0.0016737311208659532,3.9790074248067196e-08,2.9382996741699205e-06
110.0,-0.24333120393049085,-0.00028954773184267053,0.0016736131151554934,3.9488145251058996e-08,2.8639874111650954e-06
111.0,-0.24327820798792252,-0.0002884284187540452,0.0016734935099155409,3.920020187263608e-08,2.7920727841954243e-06
112.0,-0.2432250291770856,-0.0002873707423883369,0.0016733722445071582,3.8925354200341893e-08,2.7224861650755565e-06
113.0,-0.24317166962726766,-0.00028637252681646563,0.0016732492618842972,3.866276653604463e-08,2.655159132161433e-06
114.0,-0.24311813151136724,-0.0002854316693395218,0.0016731245090372726,3.841165473832901e-08,2.5900245245293814e-06
115.0,-0.2430644170384861,-0.00028454613735338257,0.0016729979360967742,3.817128337090908e-08,2.5270164577858077e-06
116.0,-0.24301052845472643,-0.000283713966539192,0.001672869496782886,3.7940963078092904e-08,2.466070358671263e-06
117.0,-0.2429564680392839,-0.00028293325857152733,0.0016727391482534808,3.772004832847436e-08,2.407123000997541e-06
118.0,-0.24290224018856557,-0.00028118354398350566,0.0016726113155542698,3.752582368451368e-08,2.3665937767027974e-06
