"Freq [GHz]","im(Zo(1)) []","im(Zo(2)) []"
61,-0.275958261291527,-0.193812080639966
62,-0.275504727792123,-0.193160007951716
63,-0.275030800435354,-0.192510476330192
64,-0.274536533983713,-0.191863091347088
65,-0.274022073127937,-0.191217511603641
66,-0.272141128027882,-0.189694904947067
67,-0.271278071191754,-0.189098313697492
68,-0.27077762571546,-0.188500356804861
69,-0.268829540399493,-0.187900992699645
70,-0.268346348734321,-0.187300209231781
71,-0.267584314835334,-0.18663778205802
72,-0.26706663847146,-0.185983546417975
73,-0.265677324159994,-0.185384953637458
74,-0.265151470858561,-0.184784715842495
75,-0.26460327677054,-0.184182962890455
76,-0.26403366476302,-0.183579835322006
77,-0.262436354030607,-0.18267233225207
78,-0.261276204020622,-0.181784386071856
79,-0.260713183352642,-0.181207407102453
80,-0.260129651507351,-0.18062821851359
81,-0.259526596257268,-0.180047066709739
82,-0.258904985652403,-0.179464196961254
83,-0.257634326519402,-0.178879852619728
84,-0.256229573828561,-0.178294274286673
85,-0.255615353733096,-0.177707699209775
86,-0.254983885281587,-0.177120360613666
87,-0.254336119899642,-0.176532487181569
88,-0.253061392704504,-0.1759443026005
89,-0.25169125610442,-0.175356025114093
90,-0.251054135691834,-0.174580456979594
91,-0.24974717650113,-0.17381253663032
92,-0.248459316875152,-0.173243111352263
93,-0.247832754231166,-0.172673543366441
94,-0.247191704367156,-0.172104061145358
95,-0.246537057806131,-0.171534884319593
96,-0.245869671843769,-0.170966223704342
97,-0.24519037139599,-0.170398281331708
98,-0.244499949523661,-0.169831250523679
99,-0.243799168431991,-0.169265316000869
100,-0.243088760036176,-0.168700653965462
101,-0.242369426902414,-0.168137432257573
102,-0.241641842982148,-0.167575810492498
103,-0.240906654390241,-0.167015940222449
104,-0.24016448019071,-0.166347176338102
105,-0.23941591332943,-0.165796567637047
106,-0.238661521234587,-0.165141854385647
107,-0.237901846762456,-0.164600301885245
108,-0.237137408910583,-0.164060673310871
109,-0.236368703579566,-0.163523097688742
110,-0.235596204390773,-0.1629876963186
111,-0.234820363388919,-0.162454583058116
112,-0.234041611785289,-0.161923864566918
113,-0.233260360719255,-0.161395640567263
114,-0.232477001904943,-0.160870004104598
115,-0.231691908396174,-0.160347041792915
116,-0.230905435212834,-0.159826834063476
117,-0.230117920038727,-0.159309455426235
118,-0.22932968383884,-0.158726024451621
119,-0.228541031517803,-0.158153850778747
120,-0.227752252517764,-0.157651599831922
121,-0.226963621412043,-0.157152126667453
122,-0.226175398504414,-0.156655493178733
123,-0.225387830381585,-0.15616175608617
124,-0.224601150457214,-0.155670967144925
125,-0.223815579499116,-0.155183173400661
126,-0.223031326158437,-0.154698417384012
127,-0.222248587449469,-0.154123000999505
128,-0.221467549277575,-0.153648962653307
129,-0.220688386812589,-0.153177850533293
130,-0.219911265035834,-0.15270970109382
131,-0.219136339133021,-0.152244546840233
132,-0.218363754901636,-0.151782416527001
133,-0.217593649209849,-0.151323335346188
134,-0.216826150295927,-0.150867325106379
135,-0.216061378239326,-0.150414404418519
136,-0.215299445291829,-0.149964588858296
137,-0.214540456201201,-0.149517891123033
138,-0.213784508589974,-0.149074321203285
139,-0.21303169323806,-0.148633886512444
140,-0.212282094449345,-0.148196592042797
141,-0.211535790297259,-0.147762440498973
142,-0.210792852946726,-0.147331432424292
143,-0.210053348928925,-0.14690356633185
144,-0.209317339400134,-0.146478838820339
145,-0.208584880397595,-0.146057244689926
146,-0.207856023100967,-0.145638777052141
147,-0.20713081403559,-0.145223427432118
148,-0.20640929534422,-0.144811185868402
149,-0.205691504970245,-0.144402041008656
150,-0.20497747688359,-0.14399598020186
